Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
Dinde escalope panée,882,211,,14.1,14.1,13.5,10.9,1.07,,,,,,,,1.3,0,1.03,0,traces,1.53,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,356,,,,,,,,,,,,,,
ANCHOIS À l'HUilE,879,210,50.30,28.89,0.00,9.71,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,11.10,,,2.20,3.77,2?56,,,,,,,,,,,2.07,0.37,,,85.00,,232.00,,0.34,4.63,,69.00,0.10,252.00,544.00,68.00,3668.00,2.44,12.00,0.00,,3;33,12.10,0.00,0.08,0.36,19.90,0.91,0.20,13.00,0.88
ANCHOIS FRAIS,548,131,73.37,20.35,0.00,4.84,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.44,,,1.28,1.18,1.64,,,,,,,,,,,1.45,0.10,,,60.00,,147.00,,0.21,3.25,,41.00,0.07,174.00,383.00,36.50,104.00,1.72,15.00,0.00,,0.57,0.10,0.00,0.06,0.26,14;02,0.65,0.14,9.00,0.62
CALAMAR CRU,385,92,78.55,15.58,3.08,1.38,,0.00,,0.00,,0.00,0.00,3.08,,0.00,,1.41,,,0.36,0.11,0.52,,,,,,,,,,,0.49,0.01,,,233.00,,32.00,,1.89,0.68,,33.00,0.04,221.00,246.00,44.80,44.00,1.53,10.00,0.00,,1.20,0.00,4.70,0.02,0.41,2.18,0.50,0.06,5.00,1.30
CALAMAR SEC,1464,350,18.44,59.24,11.71,5.25,,,,,,,,,,0.00,,6.29,,,1.36,0.41,1.99,,,,,,,,,,,1.87,0.04,,,885.93,,121.67,,7.19,2.59,,125.47,,840.30,935.36,,167.30,5.82,32.32,0.00,,4.56,,16.98,0.07,1.25,7.86,,0.20,17.70,4.69
CLAM PRAIRE/PALOURDE CRU,310,74,81.82,12.77,2.57,0.97,,0.00,,0.00,,0.00,0.00,2.57,,0.00,,1.87,,,0.09,0.08,0.28,,,,,,,,,,,0.15,0.06,,,34.00,,46.00,,0.34,13.98,,9.00,0.50,169.00,314.00,24.30,56.00,1.37,90.00,0.00,0.10,0.31,0.20,13.00,0.08,0.21,1.77,0.36,0.06,16.00,49.44
THON CONSERVE,778,186,64.02,26.53,0.00,8.08,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,2.18,,,1.28,3.26,2.97,,,,,,,,,,,0.44,2.47,,,31.00,,40.00,,0.13,0.65,,34.00,0.02,267.00,333.00,60.10,396.00,0.47,5.00,0.00,,2.30,6.90,0.00,0;02,0;08,11.70,0.37,0.43,5.00,2.20
HARENG CRU,661,158,72.05,17.96,0.00,9.04,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.46,,,2.04,3.74,2.13,,,,,,,,,,,1.67,0.19,,,60.00,,57.00,,0.09,1.10,,32.00,0.04,236.00,327.00,36.50,90.00,0.99,28.00,0.00,40.70,1.07,0.10,0.70,0.09,0.23,3.22,0.65,0.30,10.00,13.67
LOUP CRU,406,97,79.22,17.73,0.00,2.33,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.04,,,0.51,0.66,0.78,,,,,,,,,,,0.77,0.02,,,80.00,,15.00,,0.03,0.84,,40.00,0.02,198.00,256.00,36.50,69.00,0.40,27.00,0.00,,0.50,,0.00,0.10,0.03,2.10,0.75,0.30,9.00,3.82
MAQUEREAU CRU,858,205,63.55,18.60,0.00,13.89,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.35,,,3.26,5.46,3.35,,,,,,,,,,,2.46,0.40,,,70.00,,12.00,,0.07,1.63,,76.00,0;02,217.00,314.00,44.10,90.00,0.63,50.00,0.00,9.00,1.52,5.00,0.40,0.18,0.31,9.08,0.86,0.40,1.00,8.71
MERLU CRU,377,90,80.27,18.31,0.00,1.31,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.30,,,0.25,0.28,0.42,,,,,,,,,,,,,,,67.00,,48.00,,0.03,0.34,,21.00,0.10,222.00,249.00,32.10,72.00,0.88,30.00,,,,,0.00,0.06,0.05,1.30,0.22,0.16,13.00,2.30
MOULE CRUE,360,86,80.58,11.90,3.69,2.24,,0.00,,0.00,,0.00,0.00,3.69,,0.00,,1.59,,,0.43,0.51,0.61,,,,,,,,,,,0.46,0;09,,,28.00,,26.00,,0.09,3.95,,34.00,3.40,197.00,320.00,44.80,286.00,1.60,48.00,0.00,,0.55,0.10,8.00,0.16,0.21,1.60,0.50,0.05,42.00,12.00
MULET CRU,490,117,77.01,19.35,0.00,3.79,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.20,,,1.12,1.08,0.72,,,,,,,,,,,0.35,0.18,,,49.00,,41.00,,0.05,1.02,,29.00,0.02,221.00,357.00,36.50,65.00,0.52,37.00,0.00,,1.00,0.10,1.20,0.09,0.08,5.20,0.76,0.43,9.00,0.22
LOUP MERLU MULET RASCASSE SOLE CRUS,409,98,78.96,18.60,0.00,2.04,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.19,,,0.50,0.52,0.55,,,,,,,,,,,0.34,0.06,,,55.80,,26.20,,0.03,0.59,,29.40,0.03,200.60,325.60,34.86,69.40,0.53,32.20,0.00,0.30,0.65,0.06,0.58,0.07,0.06,2.94,0.60,0.26,9.60,1.77
ANCHOIS HARENG MAQUEREAU SARDINE CRUS,687,164,69.49,19.33,0.00,9.19,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.06,,,2.29,3.19,2.43,,,,,,,,,,,1.40,0.17,,,72.50,,75.25,,0.09,1.85,,44.25,0.03,224.25,346.00,29.28,98.50,0.84,23.25,0.00,15.18,0.86,1.30,0.28,0.08,0.26,8.63,0.54,0.38,6.00,7.25
POULPE CRU,343,82,80.25,14.91,2.20,1.04,,0.00,,0.00,,0.00,0.00,2.20,,0.00,,1.60,,,0.23,0.16,0.24,,,,,,,,,,,0.16,0.05,,,48.00,,53.00,,0.44,5.30,,30.00,0.03,186.00,350.00,44.80,230.00,1.68,45.00,0.00,,1.20,0.10,5.00,0.03,0.04,2.10,0.50,0.36,16.00,20.00
POULPE SÈCHE,1304,312,24.91,56.69,8.37,3.95,,,,,,,,,,0.00,,6.29,,,0.86,0.62,0.91,,,,,,,,,,,0.60,0.18,,,182.51,,201.52,,1.65,20.15,,114.06,0.10,707.22,1330.70,,874.52,6.39,145.43,0.00,,4.56,,18.06,0.10,0.12,7.59,,1.30,57.80,72.24
RASCASSE CRUE,393,94,79.26,18.75,0.00,1.57,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.20,,,0.37,0.33,0.48,,,,,,,,,,,0.36,0.05,,,35.00,,9.00,,0.03,0.41,,26.00,0.02,178.00,405.00,36.50,60.00,0.41,57.00,0.00,,1.25,0.10,0.00,0.04,0.07,3.22,0.75,0.23,9.00,1.00
SARDINE CONSERVE,870,208,59.61,24.62,0.00,11.45,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,3.38,,,1.53,3.87,5.15,,,,,,,,,,,1.48,3.54,,,142.00,,382.00,,0.19,2.92,,39.00,0.11,490.00,397.00,52.70,505.00,1.31,32.00,0.00,6.80,2.04,2.60,0.00,0.08,0.23,5.25,0.64,0.17,12.00,8.94
SARDINE CRUE,682,163,69.00,20.40,0.00,9.00,,,,,,,,,,,,,,,2.60,2.40,2.60,,,,,,,,,,,,,,,100.00,,85.00,,,1.40,,28.00,,270.00,360.00,,110.00,,,,11.00,0.29,,,0.01,0.25,8.20,,0.68,4.00,6.00
SEICHE CRUE,331,79,80.56,16.24,0.82,0.70,,,,,,,,,,0.00,,1.68,,,0.12,0.08,0.13,,,,,,,,,,,0.11,0.02,,,112.00,,90.00,,0.59,6.02,,30.00,0.11,387.00,354.00,44.80,372.00,1.73,113.00,0.00,,2.40,,5.30,0.01,0.91,1.22,0.50,0.15,16.00,3.00
SOLE CRUE,381,91,79.06,18.84,0.00,1.19,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.20,,,0.28,0.23,0.33,,,,,,,,,,,0.21,0.05,,,48.0,,18.00,,0.03,0.36,,31.00,0.02,184.00,361.00,32.70,81.00,0.45,10.00,0.00,1.50,0.51,0.10,1.70,0.09,0.08,2.90,0.50,0.21,8.00,1.52
CREVETTE CRUE,444,106,75.86,20.31,0.91,1.73,,,,,,,,,,0.00,,1.20,,,0.33,0.25,0.6,,,,,,,,,,,,,,,152.00,,52.00,,0.26,2.41,,37.00,0.05,205.00,185.00,38.00,148.00,1.11,54.00,,3?80,,0.03,2.00,0.03,0.03,2.55,0.08,0.10,8.00,1.16
Saumon cuit (aliment moyen),854,205,62.6,23,23,0,12.5,0,,,,,,,0,0,0,1.21,0,0,2.5,4.59,4.15,,,,,,0.52,1.36,0.31,,,,,0.68,1.38,57.3,0.13,11.5,,0.045,0.35,,28.6,0.023,243,383,,53.3,0.42,,,,,,2.79,0.27,0.099,7.6,1.42,0.46,19.9,2.78
JAUNE D'OEUF CRU,1347,322,52.31,15.86,3.59,26.54,,0.07,,0.19,,0.07,0.07,3.03,,0.00,,1.71,,,9.55,11.74,4.20,,,,,,,,,,,0.23,3.98,,,1234.00,,129.00,,0.08,2.73,154.00,5.00,0.06,390.00,109.00,56.00,48.00,2.30,391.00,88.00,2.69,2.58,0.70,0.00,0.18,0.53,0.02,2.99,0.35,146.00,1.95
OEUF FRAIS,615,147,75.84,12.58,13.52,9.94,,0.11,,0.21,,0.11,0.11,0.00,,0.00,,0.86,,,3.10,3.81,1.36,,,,,,,,,,,0.07,1.29,,,423.00,,53.00,,0.10,1.83,53.00,12.00,0.04,191.00,134.00,31.70,140.00,1.11,141.00,10.00,0.86,0.97,0.30,0.00,0.07,0.48,0.07,1.44,0.14,47.00,1.29
FROMAGE FONDU,1213,290,47.65,16.41,8.73,21.23,,,,,,,,1.41,,0.00,,5.98,,,13.33,6.22,0.62,,,,,,,,,,,0.22,0.40,,,55.00,,562.00,,0.03,0.33,25.00,29.00,0.02,712.00,242.00,11.30,1345.00,2.59,178.00,55.00,,0.19,1.80,0.00,0.05,0.43,0.13,0.69,0.12,7.00,0.40
LAIT AU CHOCOLAT,347,83,82.30,3.17,10.34,3.39,,,,,,,,0.00,,0.80,,0.80,,,2.10,0.99,0.12,,,,,,,,,,,0.05,0.08,,,12.00,,112.00,,0.07,0.24,28.80,13.00,0.08,101.00,167.00,1.90,60.00,0.41,26.00,5.00,1.00,0.06,0.20,0.90,0.04,0.16,0.13,0.30,0.04,5.00,0.33
LAIT CONCENTRÉ SUCRÉ,1343,321,27.16,7.91,54.40,8.70,,0.00,,0.00,,44.00,0.00,0.00,,0.00,,1.83,,,5.49,2.43,0.34,,,,,,,,,,,0.12,0.22,,,34.00,,284.00,,0.02,0.19,84.00,26.00,0.01,253.00,371.00,14.80,127.00,0.94,75.00,14.00,,0.16,0.60,2.60,0.09,0.42,0.21,0.75,0.05,11.00,0.44
LAIT DE CHÈVRE,289,69,87.03,3.56,4.45,4.14,,,,,,,,0.00,,0.00,,0.82,,,2.67,1.11,0.15,,,,,,,,,,,0.04,0.11,,,11.00,,134.00,,0.05,0.05,,14.00,0.02,111.00,204.00,1.40,50.00,0.30,58.00,7.00,0.30,0.07,0.30,1.30,0.05,0.14,0.28,0.31,0.05,1.00,0.07
LAIT DEMIÉCRÉMÉ,192,46,89.60,3.40,4.70,1.70,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,,,,1.10,0.40,0.00,,,,,,,,,,,,,,,6.00,,120.00,,0.00,0.02,30.00,11.00,0.00,94.00,156.00,1.00,43.00,0.40,19.00,9.00,0.00,0.04,,1.00,0.04,0.24,0.10,0.32,0.06,6.00,0.40
LAIT ÉCRÉMÉ,146,35,90.80,3.41,4.85,0.18,,0.00,,0.00,,,,0.45,,0.00,,0.76,,,0.12,0.05,0.01,,,,,,,,,,,0.00,0.01,,,2.00,,123.00,,0.01,0.04,23.00,11.00,0.00,101.00,166.00,2.10,52.00,0.40,2.00,0.00,,0.04,,1.00,0.04,0.14,0.09,0.33,0.04,5.00,0.38
LAIT ENTIER UHT,268,64,87.69,3.28,4.65,3.66,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.72,,,2.28,1.06,0.14,0.05,,,,,,,,,,0.05,0.08,,,14.00,,119.00,,0.01,0.05,23.00,13.00,0.00,93.00,151.00,2.00,49.00,0.38,35.00,,1.00,0.10,,1.50,0.04,0.16,0.08,0.31,0.04,5.00,0.36
LEBEN,143,34,90.89,3.26,4.85,0.17,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.84,,,0.11,0.05,0.01,,,,,,,,,,,0.00,0.00,,,1.69,,116.16,,0.01,0.04,254.00,11.79,0.00,91.49,158.44,2.50,53.70,0.44,66.89,,1.00,0.01,,0.52,0.04,0.16,0.08,0.30,0.03,4.63,0.37
RAYEB,268,64,87.69,3.28,4.65,3.66,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.72,,,2.28,1.06,0.14,0.05,,,,,,,,,,0.05,0.08,,,14.00,,119.00,,0.01,0.05,23.00,13.00,0.00,93.00,151.00,2.00,49.00,0.38,35.00,,1.00,0.10,,1.50,0.04,0.16,0.08,0.31,0.04,5.00,0.36
RICOTTA,337,81,,8.06,8.06,0.00,,,,,,,,4.84,,0.00,,,,,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,16.13,,161.29,,,0.00,,,,,,,104.84,,0.00,0.00,,,,0.00,,,,,,,
YAOURT AU LAIT DEMIÉCRÉMÉ AROMATISÉ,356,85,79.00,4.93,13.80,1.25,,,,,,,,0.00,,0.00,,1.02,,,0.81,0.34,0.04,,,,,,,,,,,0.01,0.03,,,5.00,,171.00,,0.01,0.07,,16.00,0.00,135.00,219.00,4.90,66.00,0.83,12.00,2.00,N.d.,0.02,0.10,0.80,0.04,0.20,0.11,0.55,0.05,11.00,0.53
YAOURT AU LAI T DEMIÉCRÉMÉ NATURE,295,71,,5.88,8.23,1.76,,,,,,,,,,0.00,,,,,1.12,0.47,0.05,,,,,,,,,,,,,,,11.76,,176.37,,,0.08,,,,146.97,217.52,,70.55,0.35,11.76,,,,,0.80,,,,,,,
YAOURT AU LAIT ENTIER AROMATISÉ,422,101,77.46,4.84,13.53,3.18,,,,,,,,0.00,,0.00,,1.01,,,2.00,0.90,0.11,,,,,,,,,,,0.04,0.07,,,9.82,,168.01,,0.01,0.07,,16.12,0.00,132.02,215.09,2.00,64.54,0.81,30.88,,0.04,0.09,,0.74,0.04,0.20,0.11,0.50,0.04,10.30,0.52
YAOURT AU LAIT ENTIER AUX FRUITS,473,113,73.80,3.50,18.90,2.70,,,,18.00,,,,,,0.00,,,,,1.70,0.80,0.10,,,,,,,,,,,,,,,10.00,,130.00,,,0.20,,13.00,,100.00,20.00,,55.00,,22.00,36.00,0.00,0.08,,2.00,0.05,0.23,0.13,,0.07,3.00,0.00
YAOURT AU LAIT ENTIER CHOCOLATÉ,422,101,77.46,4.84,13.52,3.18,,,,,,,,1.59,,0.00,,1.01,,,2.00,0.90,0.11,,,,,,,,,,,0.04,0.07,,,9.82,,168.01,,0.01,0.07,,16.12,0.00,132.02,215.09,2.00,64.54,0.81,30.88,,0.04,0.09,,0.74,0.04,0.20,0.11,0.50,0.04,10.30,0.52
FROMAGE PÂTE DURE,1573,376,37.21,28.43,3.38,27.45,,0.00,,0.30,,,0.30,,,0.00,,3.53,,,17.78,7.27,0.97,,,,,,,,,,,,,,,91.70,,960.90,,0.03,0.17,,35.91,0.02,604.60,110.70,12.70,260.00,3.90,253.00,,1.10,,,0.00,0.02,0.37,0.09,0.43,0.08,6.40,1.68
BEURRE,3000,717,17.94,0.85,0.06,81.11,,,,,,,,0.00,,0.00,,0.04,,,51.37,21.02,3.04,,,,,,,,,,,0.32,2.73,,,215.00,,24.00,,0.02,0.02,,2.00,0.00,24.00,24.00,1.00,11.00,0.09,697.00,158.00,,2.32,7.00,0.00,0.01,0.03,0.04,0.11,0.00,3.00,0.17
"Matière grasse laitière à 25% MG légère ""à tartiner"" doux",1020,247,68.8,0.4,0.4,3.8,25.6,,"< 0,5",,"< 0,5","< 0,5","< 0,5","< 0,5",2.9,0,0,0.84,0,traces,16.3,5.85,0.87,0.77,0.51,0.31,0.69,0.84,2.71,7.75,2.26,4.86,,0.11,0.03,0.013,,70,0.72,18,465,< 1,< 1,< 10,2.5,< 1,14,51.2,8.1,286,< 1,342,491,"< 0,2",2.2,,< 1,"< 0,05","< 0,05","< 0,05",0.06,"< 0,05",< 5,"< 0,2"
"Matière grasse laitière à 20% MG légère ""à tartiner"" doux",831,201,73.6,"< 0,5","< 0,5",6.2,19.1,1.56,"< 0,1","< 0,1","< 0,1",1.56,"< 0,1","< 0,1",4.3,< 3,0,0.9,0,0.21,12.1,4.67,0.47,0.66,0.42,0.27,0.48,0.61,2.03,5.28,1.86,3.96,0.28,0.11,0.01,0.01,"< 0,01",59,0.63,22.7,222,< 1,< 1,< 10,2.3,< 1,15,48.1,5.8,250,< 1,448,732,0.7,2,,< 1,"< 0,05","< 0,05","< 0,05",0.08,"< 0,05",< 5,"< 0,2"
GRAISSE D'AGNEAU CRUE,2782,665,22.54,6.65,0.00,70.61,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.36,,,32.24,29.11,5.35,,,,,,,,,,,1.34,4.01,,,90.00,,19.00,,0.06,0.98,,9.00,0.00,73.00,82.00,8.80,31.00,1.13,0.00,0.00,,0.22,,0.00,0.06,0.16,6.37,0.58,0.04,1.68,
HUILE DE COLZA,3766,900,0.00,0.00,0.00,100.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,,7.10,58.90,29.60,,,,,,,,,,,9.30,20.30,,,0.00,,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17.10,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
HUILE DE MAIS,3766,900,0.00,0.00,0.00,100.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,,13.00,25.00,60.50,,,,,,,,,,,,,,,0.00,,0.00,,,0.00,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,,,,
HUILE DE SOJA,3766,900,0.00,0.00,0.00,100.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,,14.40,20.50,57.90,,,,,,,,,,,6.80,51.00,,,0.00,,0.00,,0.00,0.02,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.19,193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
HUILE DE TOURNESOL,3766,900,0.00,0.00,0.00,100.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,,9.00,57.00,32.50,,,,,,,,,,,,,,,0.00,,0.00,,,0.00,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,0.00,0.00,,,,,
HUILE D'OLIVE,3766,900,0.20,0.00,0.00,100.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.00,,,14.00,77.00,9.00,,,,,,,,,,,0.70,8.00,,,,,,,,,,,,,,,,,,,,12.40,,,,,,,,,
MARGARINE,2996,716,17.90,0.80,0.90,80.30,,,,,,,,0.00,,0.00,,0.20,,,13.50,36.40,26.80,,,,,,,,,,,0.90,25.90,,,0.00,,27.00,,,0.00,,2.00,,20.00,38.00,0.00,28.00,0.00,800.00,,,3.20,,0.10,0.01,0.03,0.02,0.08,0.01,,0.08
SMEN,2883,689,20.10,0.85,1.50,77.30,,,,,,,,,,0.00,,0.20,,,52.60,23.50,2.00,,,,,,,,,,,,,,,250.00,,12.00,,,0.20,,,,18.00,,,,,,545.00,,,,,0.01,0.02,0.10,,,,
BONBONS SUCRERIES DE TOUS TYPES,1586,379,0.00,0.40,94.35,0.00,,0.00,,0.00,,0.00,95.00,0.00,,0.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4.00,,0.00,0.40,0.00,3.00,0.00,8.00,23.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00
CHAMlA,2163,517,2.20,11.60,42.73,33.30,,,,,,,,11.23,,7.90,,2.60,,,4.64,12.75,14.58,0.25,14.33,0.00,,,,,,,,0.25,14.33,,,0.00,,655.00,,0.95,4.27,,251.00,1.66,423.00,322.00,4.10,167.00,3.76,0.60,3.00,,0.17,0.00,0.10,0.53,0.17,3.70,0.04,0.53,52000,0.00
CHOCOLAT À TARTINER AVEC NOISETTE,2264,541,1.07,5.41,62.16,29.73,,,,,,,,1.92,,5.40,,1.44,,,5.39,16.28,6.77,,,,,,,,,,,0.09,6.67,,,0.00,,108.00,,0.47,4.38,,64.00,0.87,152.00,407.00,3.60,41.00,1.06,2.00,1.00,,4.96,1.90,0.00,0.12,0.17,0.43,0.36,0.08,14000,0.28
CHOCOLAT AU LAIT,2238,535,1.50,7.65,59.40,29.66,,,,,,,,4.50,,3.40,,1.78,,,14.25,13.23,0.81,,,,,,,,,,,,0.73,,,23.00,,189.00,,0.49,2.35,,63.00,0.47,208.00,372.00,4.50,79.00,2.01,50.00,0.00,,2.02,5.70,0.00,0.11,0.30,0.39,0.47,0.04,12000,0.62
CHOCOLAT INSTANTANÉ SUCRÉ EN POUDRE,1460,349,0.90,3.30,76.98,3.10,,,,,,,,1.24,,4.40,,1.80,,,1.83,1.01,0.09,,,,,,,,,,,0.00,0.09,,,0.00,,37.00,,0.71,3.14,160.00,98.00,0.71,128.00,591.00,2.60,210.00,1.55,0.40,0.00,,0.05,1.10,0.70,0.03,0.15,0.51,0.05,0.01,7000,0.00
CONFITURE TOUT TYPE,1163,278,30.47,0.37,68.86,0.07,,,,,,,,19.26,,1.10,,0.23,,,0.01,0.04,0.00,,,,,,,,,,,0.00,0.00,,,0.00,,20.00,,0.10,0.49,,4.00,0.04,19.00,77.00,2.00,32.00,0.06,2.00,0.00,,0.12,0.00,8.80,0.02,0.08,0.04,0.02,0.02,11000,0.00
GLACE,757,181,,4.60,25.57,6.90,,,,,,,,2.87,,0.29,,,,,4.60,,,,,,,,,,,,,,,,,21.35,,143.68,,,0.10,,,,,,,66.09,,71.84,,,,,0.69,,,,,,,
MIEL,1272,304,17.10,0.30,75.70,0.00,,40.49,,35.75,,1.44,0.89,0.08,,0.20,,0.20,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,6.00,,0.04,0.42,,2.00,0.08,4.00,52.00,0.80,4.00,0.22,0.00,0.00,,0.00,0.00,0.50,0.00,0.04,0.12,0.07,0.02,2000,0.00
PÂTE DE FRUITS,895,214,43.00,1.00,56.00,0.00,,,,,,,,,,2.20,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.00,,4.00,,,0.30,,3.00,,6.00,90.00,,1.00,,,10.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00
SIROP GRENADINE,1113,266,32.40,0.00,66.60,0.00,,,,,,,,0.00,,0.00,,1.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,6.00,,0.03,0.05,,4.00,,4.00,28.00,0.60,27.00,0.13,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.00,0,0.00
SODA,163,39,89.05,0.00,10.85,0.00,,,,,,,,0.00,,0.00,,0.10,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.01,,,,,16.47,0.00,,3.62,,0.00,0.00,,,,0.00,,,,,,,
SORBET AU CITRON,385,92,76.10,0.50,23.10,0.00,,,,,,,,0.00,,0.10,,0.30,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,9.00,,0.02,0.47,0.00,8.00,0.00,13.00,100.00,0.55,8.00,0.02,27.00,,0.00,0.05,,25.70,0.01,0.03,0.16,0.02,0.02,22000,0.00
SUCRE,1916,387,0.03,0.00,99.98,0.00,,,,,,,,0.07,,0.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,,0.00,0.01,,0.00,0.00,0.00,2.00,0.60,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0,0.00
Nougat,,,1,7.88,7.88,62.5,25.2,58,,,,,,,0,0.7,,1.7,0,traces,1.61,17.6,4.84,,,,,,,,,,,,,,,0,0.0025,173,,0.31,1.4,,54,0.61,265,377,,1,1.23,0,0,0,12.4,,0,0.16,0.25,1.2,,0.08,26,
Gaufrette/éventail sans fourrage,,,2.93,9,9,76.8,8,35,,,"< 0,23",,"< 0,35",35,35.5,2,,1.29,0,0,5,2.26,0.38,,,0.31,0.27,2.39,0.95,0.6,0.47,2.26,0.34,0.041,,,,,1,1.55,577,,,,,,140,144,,400,,,,,,,2,0.016,0.063,0.68,,0.057,5,0.09
Gaufrette fourrée chocolat préemballée,,,1.64,6.38,6.38,57.2,29.8,35.8,"< 0,2",,0.13,2.62,0.15,32.9,,3.53,,1.44,0,0,22.9,5.35,0.92,0.019,0.11,1.09,0.76,6.55,2.46,5.83,4.7,4.94,0.88,0.029,"< 0,005","< 0,005","< 0,005",,0.27,34,,,,,11,,,,,109,,,,,,,,,,,,,,
